Osoba,2001 Jun-I 10T,2001 Jun-II 10T,2001 Mládež 10T,2001 Dospělí 10T,2001 Jun-I LAT,2001 Jun-II LAT,2001 Mládež LAT,2001 Dospělí LAT,2001 Jun-I STT,2001 Jun-II STT,2001 Mládež STT,2001 Dospělí STT,2001 Senioři STT,2002 Jun-I 10T,2002 Jun-II 10T,2002 Mládež 10T,2002 Dospělí 10T,2002 Jun-I STT,2002 Jun-II STT,2002 Mládež STT,2002 Dospělí STT,2002 Senioři STT,2002 Jun-I LAT,2002 Jun-II LAT,2002 Mládež LAT,2002 Dospělí LAT,2003 Jun-I 10T,2003 Jun-II 10T,2003 Mládež 10T,2003 Dospělí 10T,2003 Mládež LAT,2003 Dospělí LAT,2003 Jun-I STT,2003 Jun-II STT,2003 Mládež STT,2003 Dospělí STT,2003 Senioři STT,2004 Mládež 10T,2004 Dospělí 10T,2004 Jun-I STT,2004 Jun-II STT,2004 Mládež STT,2004 Dospělí STT,2004 Senioři STT,2004 Jun-I LAT,2004 Jun-II LAT,2004 Mládež LAT,2004 Dospělí LAT,2005 Jun-I 10T,2005 Jun-II 10T,2005 Mládež 10T,2005 Dospělí 10T,2005 Jun-II LAT,2005 Mládež LAT,2005 Jun-I LAT,2005 Dospělí LAT,2005 Jun-II STT,2005 Mládež STT,2005 Jun-I STT,2005 Senioři STT,2005 Dospělí STT,2006 Jun-I 10T,2006 Jun-II 10T,2006 Mládež 10T,2006 Dospělí 10T,2006 Jun-I STT,2006 Jun-II STT,2006 Mládež STT,2006 Senioři STT,2006 Dospělí STT,2006 Jun-I LAT,2006 Jun-II LAT,2006 Mládež LAT,2006 Dospělí LAT,2007 Jun-I 10T,2007 Jun-II 10T,2007 Mládež 10T,2007 Dospělí 10T,2007 Jun-II LAT,2007 Mládež LAT,2007 Jun-I LAT,2007 Dospělí LAT,2007 Jun-II STT,2007 Mládež STT,2007 Jun-I STT,2007 Dospělí STT,2007 Senioři STT,2008 Jun-I LAT,2008 Jun-II LAT,2008 Mládež LAT,2008 Dospělí LAT,2008 Jun-I STT,2008 Jun-II STT,2008 Mládež STT,2008 Senioři STT,2008 Dospělí STT,2008 Jun-I 10T,2008 Jun-II 10T,2008 Mládež 10T,2008 Dospělí 10T,2009 Jun-I LAT,2009 Jun-II LAT,2009 Mládež LAT,2009 Dospělí LAT,2009 Senioři LAT,2009 Jun-I STT,2009 Jun-II STT,2009 Mládež STT,2009 Dospělí STT,2009 Senioři-I STT,2009 Senioři-II STT,2009 Jun-I 10T,2009 Jun-II 10T,2009 Mládež 10T,2009 Dospělí 10T,2010 Jun-I LAT,2010 Jun-II LAT,2010 Mládež LAT,2010 Senioři LAT,2010 Dospělí LAT,2010 Jun-I STT,2010 Jun-II STT,2010 Mládež STT,2010 Senioři-I STT,2010 Senioři-II+III STT,2010 Dospělí STT,2010 Jun-I 10T,2010 Jun-II 10T,2010 Mládež 10T,2010 Dospělí 10T,2010 Senioři-I 10T,2011 Jun-I STT,2011 Jun-II STT,2011 Mládež STT,2011 Dospělí STT,2011 Senioři-I STT,2011 Senioři-II STT,2011 Jun-I LAT,2011 Jun-II LAT,2011 Mládež LAT,2011 Dospělí LAT,2011 Senioři LAT,2011 Jun-I 10T,2011 Jun-II 10T,2011 Mládež 10T,2011 Dospělí 10T,2012 Jun-I LAT,2012 Jun-II LAT,2012 Mládež LAT,2012 Senioři-I LAT,2012 Dospělí LAT,2012 Jun-I STT,2012 Jun-II STT,2012 Mládež STT,2012 Senioři-I STT,2012 Senioři-II STT,2012 Dospělí STT,2012 Jun-I 10T,2012 Jun-II 10T,2012 Mládež 10T,2012 Dospělí 10T,2013 Jun-I STT,2013 Jun-II STT,2013 Mládež STT,2013 Do 21let STT,2013 Dospělí STT,2013 Senioři-I STT,2013 Senioři-II STT,2013 Senioři-III STT,2013 Jun-I LAT,2013 Jun-II LAT,2013 Mládež LAT,2013 Do 21let LAT,2013 Dospělí LAT,2013 Senioři-I LAT,2013 Jun-I 10T,2013 Jun-II 10T,2013 Mládež 10T,2013 Do 21let 10T,2013 Dospělí 10T,2014 Jun-I LAT,2014 Jun-II LAT,2014 Mládež LAT,2014 Dospělí LAT,2014 Do 21let LAT,2014 Senioři-I LAT,2014 Jun-I STT,2014 Jun-II STT,2014 Mládež STT,2014 Do 21let STT,2014 Senioři-I STT,2014 Senioři-II STT,2014 Senioři-III STT,2014 Profi STT,2014 Dospělí STT,2014 Jun-II 10T,2014 Mládež 10T,2014 Do 21let 10T,2014 Jun-I 10T,2014 Dospělí 10T,2015 Jun-I STT,2015 Jun-II STT,2015 Mládež STT,2015 Do 21let STT,2015 Senioři-I STT,2015 Senioři-II STT,2015 Senioři-III STT,2015 Profi STT,2015 Dospělí STT,2015 Mládež LAT,2015 Jun-II LAT,2015 Do 21let LAT,2015 Senioři-I LAT,2015 Jun-I LAT,2015 Dospělí LAT,2015 Mládež 10T,2015 Jun-II 10T,2015 Do 21let 10T,2015 Senioři 10T,2015 Jun-I 10T,2015 Dospělí 10T,2016 Jun-II LAT,2016 Mládež LAT,2016 Do 21let LAT,2016 Senioři-I LAT,2016 Jun-I LAT,2016 Profi LAT,2016 Dospělí LAT,2016 Mládež STT,2016 Senioři-II STT,2016 Do 21let STT,2016 Senioři-III STT,2016 Jun-I STT,2016 Jun-II STT,2016 Dospělí STT,2016 Senioři-I STT,2016 Profi STT,2016 Jun-I 10T,2016 Jun-II 10T,2016 Mládež 10T,2016 Do 21let 10T,2016 Dospělí 10T,2016 Senioři 10T,2017 Dospělí STT,2017 Senioři-I STT,2017 Jun-I LAT,2017 Jun-II LAT,2017 Mládež LAT,2017 Do 21let LAT,2017 Senioři-I LAT,2017 Profi LAT,2017 Dospělí LAT,2017 Jun-I 10T,2017 Jun-II 10T,2017 Mládež 10T,2017 Do 21let 10T,2017 Senioři 10T,2017 Dospělí 10T,2018 Jun-I LAT,2018 Jun-II LAT,2018 Mládež LAT,2018 Do 21let LAT,2018 Senioři-I LAT,2018 Senioři-II LAT,2018 Dospělí LAT,2018 Jun-I 10T,2018 Jun-II 10T,2018 Mládež 10T,2018 Do 21let 10T,2018 Dospělí 10T,2018 Senioři-I 10T,2018 Senioři-IV STT,2018 Senioři-II STT,2018 Senioři-III STT,2018 Senioři-I STT,2019 Jun-I LAT,2019 Jun-II LAT,2019 Mládež LAT,2019 Do 21let LAT,2019 Dospělí LAT,2019 Jun-I STT,2019 Jun-II STT,2019 Mládež STT,2019 Do 21let STT,2019 Dospělí STT,2019 Do 21let 10T,2019 Jun-I 10T,2019 Jun-II 10T,2019 Mládež 10T,2019 Dospělí 10T,2020 Jun-I STT,2020 Jun-II STT,2020 Mládež STT,2020 Do 21let STT,2020 Dospělí STT,2020 Jun-I LAT,2020 Jun-II LAT,2020 Mládež LAT,2020 Do 21let LAT,2020 Dospělí LAT,2020 Jun-I 10T,2020 Jun-II 10T,2020 Mládež 10T,2020 Do 21let 10T,2020 Dospělí 10T,2021 Jun-I LAT,2021 Jun-II LAT,2021 Mládež LAT,2021 Do 21let LAT,2021 Dospělí LAT,2021 Jun-I 10T,2021 Jun-II 10T,2021 Mládež 10T,2021 Do 21let 10T,2021 Dospělí 10T,2021 Jun-I STT,2021 Jun-II STT,2021 Mládež STT,2021 Do 21let STT,2021 Dospělí STT,2021 Senioři-III 10T,2022 Jun-I STT,2022 Jun-II STT,2022 Do 21let STT,2022 Mládež STT,2022 Dospělí STT,2022 Jun-I 10T,2022 Jun-II 10T,2022 Mládež 10T,2022 Do 21let 10T,2022 Dospělí 10T,2022 Jun-I LAT,2022 Jun-II LAT,2022 Mládež LAT,2022 Do 21let LAT,2022 Dospělí LAT,2022 Děti STT,2022 Děti LAT,2022 Senioři-I LAT,2022 Senioři-II LAT,2022 Senioři-III LAT,2023 Děti LAT,2023 Jun-I LAT,2023 Jun-II LAT,2023 Mládež LAT,2023 Do 21let LAT,2023 Dospělí LAT,2023 Děti STT,2023 Jun-I STT,2023 Jun-II STT,2023 Mládež STT,2023 Do 21let STT,2023 Dospělí STT,2023 Děti 10T,2023 Jun-I 10T,2023 Jun-II 10T,2023 Mládež 10T,2023 Do 21let 10T,2023 Dospělí 10T
Trübenekrová Anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41 - 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasan Martin,,,,,,,,,,,,,,,,,,14,,,,,,,,,,17,,,,,,24 - 26,,,,,,,19 - 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golab Robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,13,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houbová Lucie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48 - 49,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
Kolská Zuzana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 - 8,,,,,,,,,,,,,,,,,,,,,,,,9,,,,32,,,,,,,,9 - 10,46 - 48,,,17,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veselá Veronika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,31,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelínková Karolína,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,15,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,7 - 8,,,,,6,,,,,,,,,,,,18 - 19,,,,,,21,,,,,,15,,
Výstupová Magdalena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,11,,,,16,,,,,16,,,,,,12,,,,14,,,,,,,,14,,,,,,15,,,,,,37,,,,,,21 - 22,,,,,,,,,,,,,,11,,,,,,,,,16 - 18,,,,,,12,,,,,,,,,,,,26 - 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedorová Veronika,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galandžárová Denisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,39,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 - 24,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
